txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top,Label,image_path
the,100,"[(1042, 783), (1070, 783), (1070, 794), (1042, 794)]","{'Width': 28, 'Height': 11, 'Left': 1042, 'Top': 783}","(-0.0, 1000.0, 0.0, 1000.0)",11.0,28.0,horizontal,"(1056.0, 788.5)","(1, 0)",1042,783,1,cropped_images_5\cropped_234.jpg
to,100,"[(1046, 763), (1065, 763), (1065, 773), (1046, 773)]","{'Width': 19, 'Height': 10, 'Left': 1046, 'Top': 763}","(-0.0, 1000.0, 0.0, 1000.0)",10.0,19.0,horizontal,"(1055.5, 768.0)","(1, 0)",1046,763,1,cropped_images_5\cropped_235.jpg
Malala,100,"[(1125, 1059), (1061, 1057), (1062, 1033), (1126, 1035)]","{'Width': 65, 'Height': 26, 'Left': 1061, 'Top': 1033}","(-0.031, 24.0, -0.031, 24.0)",24.0208243,64.03124237,horizontal,"(1093.5, 1046.0)","(1, 0)",1061,1033,1,cropped_images_5\cropped_236.jpg
DRY,100,"[(1160, 1189), (1158, 1397), (1098, 1397), (1100, 1189)]","{'Width': 62, 'Height': 208, 'Left': 1098, 'Top': 1189}","(104.0, 0.0, 104.0, -0.0)",60.0,208.0096152,vertical,"(1129.0, 1293.0)","(1, 0)",1098,1189,1,cropped_images_5\cropped_237.jpg
STAMPED,100,"[(1146, 24), (1144, 204), (1101, 204), (1103, 24)]","{'Width': 45, 'Height': 180, 'Left': 1101, 'Top': 24}","(90.0, 0.0, 90.0, -0.0)",43.0,180.0111108,vertical,"(1123.5, 114.0)","(1, 0)",1101,24,1,cropped_images_5\cropped_238.jpg
salt,100,"[(1112, 729), (1167, 731), (1166, 757), (1111, 755)]","{'Width': 56, 'Height': 28, 'Left': 1111, 'Top': 729}","(-0.036, 26.0, -0.036, 26.0)",26.01922366,55.03635162,horizontal,"(1139.0, 743.0)","(1, 0)",1111,729,1,cropped_images_5\cropped_239.jpg
sea,100,"[(1112, 802), (1164, 803), (1163, 823), (1112, 822)]","{'Width': 52, 'Height': 21, 'Left': 1112, 'Top': 802}","(-0.019, 20.0, -0.02, 1000.0)",20.0124922,51.50970874,horizontal,"(1137.75, 812.5)","(1, 0)",1112,802,1,cropped_images_5\cropped_240.jpg
the,100,"[(1124, 785), (1151, 785), (1151, 796), (1124, 796)]","{'Width': 27, 'Height': 11, 'Left': 1124, 'Top': 785}","(-0.0, 1000.0, 0.0, 1000.0)",11.0,27.0,horizontal,"(1137.5, 790.5)","(1, 0)",1124,785,1,cropped_images_5\cropped_241.jpg
to,100,"[(1130, 766), (1147, 766), (1147, 775), (1130, 775)]","{'Width': 17, 'Height': 9, 'Left': 1130, 'Top': 766}","(-0.0, 1000.0, 0.0, 1000.0)",9.0,17.0,horizontal,"(1138.5, 770.5)","(1, 0)",1130,766,1,cropped_images_5\cropped_242.jpg
Am,100,"[(1173, 1060), (1133, 1059), (1134, 1035), (1174, 1036)]","{'Width': 41, 'Height': 25, 'Left': 1133, 'Top': 1035}","(-0.025, 24.0, -0.025, 24.0)",24.0208243,40.01249805,horizontal,"(1153.5, 1047.5)","(1, 0)",1133,1035,1,cropped_images_5\cropped_243.jpg
STAMPED,100,"[(1212, 26), (1211, 206), (1167, 206), (1168, 26)]","{'Width': 45, 'Height': 180, 'Left': 1167, 'Top': 26}","(180.0, 0.0, 180.0, -0.0)",44.0,180.0027778,vertical,"(1189.5, 116.0)","(1, 0)",1167,26,1,cropped_images_5\cropped_244.jpg
DRY,100,"[(1233, 1186), (1231, 1385), (1173, 1384), (1175, 1186)]","{'Width': 60, 'Height': 199, 'Left': 1173, 'Top': 1186}","(99.5, -0.017, 99.0, -0.0)",58.00431002,198.5100754,vertical,"(1203.0, 1285.25)","(1, 0)",1173,1186,1,cropped_images_5\cropped_245.jpg
I,100,"[(1189, 1061), (1178, 1061), (1179, 1037), (1190, 1037)]","{'Width': 12, 'Height': 24, 'Left': 1178, 'Top': 1037}","(0.0, 24.0, -0.0, 24.0)",24.0208243,11.0,horizontal,"(1184.0, 1049.0)","(1, 0)",1178,1037,1,cropped_images_5\cropped_246.jpg
salt,100,"[(1185, 731), (1240, 733), (1239, 759), (1184, 757)]","{'Width': 56, 'Height': 28, 'Left': 1184, 'Top': 731}","(-0.036, 26.0, -0.036, 26.0)",26.01922366,55.03635162,horizontal,"(1212.0, 745.0)","(1, 0)",1184,731,1,cropped_images_5\cropped_247.jpg
sea,100,"[(1186, 804), (1237, 805), (1236, 825), (1186, 824)]","{'Width': 51, 'Height': 21, 'Left': 1186, 'Top': 804}","(-0.02, 20.0, -0.02, 1000.0)",20.0124922,50.50990099,horizontal,"(1211.25, 814.5)","(1, 0)",1186,804,1,cropped_images_5\cropped_248.jpg
the,100,"[(1197, 788), (1224, 788), (1224, 799), (1197, 799)]","{'Width': 27, 'Height': 11, 'Left': 1197, 'Top': 788}","(-0.0, 1000.0, 0.0, 1000.0)",11.0,27.0,horizontal,"(1210.5, 793.5)","(1, 0)",1197,788,1,cropped_images_5\cropped_249.jpg
to,100,"[(1203, 768), (1220, 768), (1220, 778), (1203, 778)]","{'Width': 17, 'Height': 10, 'Left': 1203, 'Top': 768}","(-0.0, 1000.0, 0.0, 1000.0)",10.0,17.0,horizontal,"(1211.5, 773.0)","(1, 0)",1203,768,1,cropped_images_5\cropped_250.jpg
HEFUGEE,100,"[(1277, 140), (1276, 279), (1237, 279), (1238, 140)]","{'Width': 40, 'Height': 139, 'Left': 1237, 'Top': 140}","(139.0, 0.0, 139.0, -0.0)",39.0,139.0035971,vertical,"(1257.0, 209.5)","(1, 0)",1237,140,1,cropped_images_5\cropped_251.jpg
DRY,100,"[(1307, 1185), (1306, 1390), (1246, 1390), (1247, 1185)]","{'Width': 61, 'Height': 205, 'Left': 1246, 'Top': 1185}","(205.0, 0.0, 205.0, -0.0)",60.0,205.002439,vertical,"(1276.5, 1287.5)","(1, 0)",1246,1185,1,cropped_images_5\cropped_252.jpg
salt,100,"[(1255, 733), (1309, 735), (1308, 760), (1254, 759)]","{'Width': 55, 'Height': 27, 'Left': 1254, 'Top': 733}","(-0.037, 25.0, -0.019, 26.0)",25.51960783,54.0231414,horizontal,"(1281.5, 746.75)","(1, 0)",1254,733,1,cropped_images_5\cropped_253.jpg
sea,100,"[(1256, 806), (1306, 807), (1306, 826), (1256, 825)]","{'Width': 50, 'Height': 20, 'Left': 1256, 'Top': 806}","(-0.02, 1000.0, -0.02, 1000.0)",19.0,50.009999,horizontal,"(1281.0, 816.0)","(1, 0)",1256,806,1,cropped_images_5\cropped_254.jpg
REFUGEE,100,"[(1339, 143), (1338, 282), (1299, 282), (1300, 143)]","{'Width': 40, 'Height': 139, 'Left': 1299, 'Top': 143}","(139.0, 0.0, 139.0, -0.0)",39.0,139.0035971,vertical,"(1319.0, 212.5)","(1, 0)",1299,143,1,cropped_images_5\cropped_255.jpg
ATZ,100,"[(1332, 0), (1331, 59), (1315, 59), (1316, 0)]","{'Width': 17, 'Height': 59, 'Left': 1315, 'Top': 0}","(59.0, 0.0, 59.0, -0.0)",16.0,59.00847397,vertical,"(1323.5, 29.5)","(1, 0)",1315,0,1,cropped_images_5\cropped_256.jpg
DRY,100,"[(1369, 1211), (1364, 1355), (1318, 1353), (1323, 1210)]","{'Width': 51, 'Height': 145, 'Left': 1318, 'Top': 1210}","(28.8, -0.043, 28.6, -0.022)",46.02716301,143.5870826,vertical,"(1343.5, 1282.25)","(1, 0)",1318,1210,1,cropped_images_5\cropped_257.jpg
SEA,100,"[(1366, 822), (1364, 899), (1334, 898), (1336, 821)]","{'Width': 32, 'Height': 78, 'Left': 1334, 'Top': 821}","(38.5, -0.033, 38.5, -0.033)",30.01666204,77.02596965,vertical,"(1350.0, 860.0)","(1, 0)",1334,821,1,cropped_images_5\cropped_258.jpg
SALT,100,"[(1369, 694), (1367, 790), (1336, 789), (1338, 693)]","{'Width': 33, 'Height': 97, 'Left': 1336, 'Top': 693}","(48.0, -0.032, 48.0, -0.032)",31.01612484,96.02083107,vertical,"(1352.5, 741.5)","(1, 0)",1336,693,1,cropped_images_5\cropped_259.jpg
the,100,"[(1349, 791), (1349, 815), (1339, 815), (1339, 791)]","{'Width': 10, 'Height': 24, 'Left': 1339, 'Top': 791}","(1000.0, 0.0, 1000.0, -0.0)",10.0,24.0,vertical,"(1344.0, 803.0)","(1, 0)",1339,791,1,cropped_images_5\cropped_260.jpg
ta,100,"[(1366, 797), (1366, 813), (1356, 813), (1356, 797)]","{'Width': 10, 'Height': 16, 'Left': 1356, 'Top': 797}","(1000.0, 0.0, 1000.0, -0.0)",10.0,16.0,vertical,"(1361.0, 805.0)","(1, 0)",1356,797,1,cropped_images_5\cropped_261.jpg
REFUGEE,100,"[(1406, 149), (1403, 287), (1361, 286), (1364, 148)]","{'Width': 45, 'Height': 139, 'Left': 1361, 'Top': 148}","(46.0, -0.024, 46.0, -0.024)",42.01190308,138.0326048,vertical,"(1383.5, 217.5)","(1, 0)",1361,148,1,cropped_images_5\cropped_262.jpg
DRY,100,"[(1426, 1211), (1421, 1357), (1375, 1355), (1379, 1210)]","{'Width': 51, 'Height': 147, 'Left': 1375, 'Top': 1210}","(29.2, -0.043, 36.25, -0.021)",46.52704741,145.5703766,vertical,"(1400.25, 1283.25)","(1, 0)",1375,1210,1,cropped_images_5\cropped_263.jpg
ATZ,100,"[(1397, 5), (1399, 64), (1383, 64), (1381, 5)]","{'Width': 18, 'Height': 59, 'Left': 1381, 'Top': 5}","(-29.5, 0.0, -29.5, -0.0)",16.0,59.03388857,vertical,"(1390.0, 34.5)","(1, 0)",1381,5,1,cropped_images_5\cropped_264.jpg
day,100,"[(1428, 823), (1427, 871), (1397, 870), (1398, 822)]","{'Width': 31, 'Height': 49, 'Left': 1397, 'Top': 822}","(48.0, -0.033, 48.0, -0.033)",30.01666204,48.01041554,vertical,"(1412.5, 846.5)","(1, 0)",1397,822,1,cropped_images_5\cropped_265.jpg
every,100,"[(1430, 748), (1428, 820), (1398, 819), (1400, 747)]","{'Width': 32, 'Height': 73, 'Left': 1398, 'Top': 747}","(36.0, -0.033, 36.0, -0.033)",30.01666204,72.02777242,vertical,"(1414.0, 783.5)","(1, 0)",1398,747,1,cropped_images_5\cropped_266.jpg
levithan,100,"[(1434, 598), (1431, 708), (1401, 707), (1404, 597)]","{'Width': 33, 'Height': 111, 'Left': 1401, 'Top': 597}","(36.667, -0.033, 36.667, -0.033)",30.01666204,110.0409015,vertical,"(1417.5, 652.5)","(1, 0)",1401,597,1,cropped_images_5\cropped_267.jpg
REFUGEE,100,"[(1468, 154), (1466, 293), (1428, 292), (1430, 153)]","{'Width': 40, 'Height': 140, 'Left': 1428, 'Top': 153}","(69.5, -0.026, 69.5, -0.026)",38.01315562,139.0143877,vertical,"(1448.0, 223.0)","(1, 0)",1428,153,1,cropped_images_5\cropped_268.jpg
DRY,100,"[(1491, 1193), (1491, 1384), (1437, 1384), (1437, 1193)]","{'Width': 54, 'Height': 191, 'Left': 1437, 'Top': 1193}","(1000.0, 0.0, 1000.0, -0.0)",54.0,191.0,vertical,"(1464.0, 1288.5)","(1, 0)",1437,1193,1,cropped_images_5\cropped_269.jpg
ATZ,100,"[(1462, 9), (1462, 69), (1447, 69), (1447, 9)]","{'Width': 15, 'Height': 60, 'Left': 1447, 'Top': 9}","(1000.0, 0.0, 1000.0, -0.0)",15.0,60.0,vertical,"(1454.5, 39.0)","(1, 0)",1447,9,1,cropped_images_5\cropped_270.jpg
day,100,"[(1478, 824), (1476, 870), (1448, 869), (1449, 823)]","{'Width': 30, 'Height': 47, 'Left': 1448, 'Top': 823}","(23.0, -0.036, 46.0, -0.034)",28.51754385,46.02716301,vertical,"(1462.75, 846.5)","(1, 0)",1448,823,1,cropped_images_5\cropped_271.jpg
every,100,"[(1480, 748), (1478, 818), (1449, 817), (1451, 747)]","{'Width': 31, 'Height': 71, 'Left': 1449, 'Top': 747}","(35.0, -0.034, 35.0, -0.034)",29.01723626,70.0285656,vertical,"(1464.5, 782.5)","(1, 0)",1449,747,1,cropped_images_5\cropped_272.jpg
levithan,100,"[(1485, 599), (1481, 708), (1452, 707), (1456, 598)]","{'Width': 33, 'Height': 110, 'Left': 1452, 'Top': 598}","(27.25, -0.034, 27.25, -0.034)",29.01723626,109.0733698,vertical,"(1468.5, 653.0)","(1, 0)",1452,598,1,cropped_images_5\cropped_273.jpg
day,100,"[(1533, 821), (1531, 866), (1501, 865), (1503, 820)]","{'Width': 32, 'Height': 46, 'Left': 1501, 'Top': 820}","(22.5, -0.033, 22.5, -0.033)",30.01666204,45.04442252,vertical,"(1517.0, 843.0)","(1, 0)",1501,820,1,cropped_images_5\cropped_274.jpg
every,100,"[(1536, 744), (1533, 815), (1504, 814), (1507, 743)]","{'Width': 32, 'Height': 72, 'Left': 1504, 'Top': 743}","(23.667, -0.034, 23.667, -0.034)",29.01723626,71.06335202,vertical,"(1520.0, 779.0)","(1, 0)",1504,743,1,cropped_images_5\cropped_275.jpg
DRY,100,"[(1569, 1194), (1566, 1396), (1506, 1395), (1509, 1193)]","{'Width': 63, 'Height': 203, 'Left': 1506, 'Top': 1193}","(67.333, -0.017, 67.333, -0.017)",60.00833275,202.022276,vertical,"(1537.5, 1294.5)","(1, 0)",1506,1193,1,cropped_images_5\cropped_276.jpg
levithan,100,"[(1543, 595), (1538, 709), (1508, 708), (1513, 594)]","{'Width': 35, 'Height': 115, 'Left': 1508, 'Top': 594}","(22.8, -0.033, 22.8, -0.033)",30.01666204,114.1095964,vertical,"(1525.5, 651.5)","(1, 0)",1508,594,1,cropped_images_5\cropped_277.jpg
day,100,"[(1579, 825), (1578, 872), (1549, 871), (1550, 824)]","{'Width': 30, 'Height': 48, 'Left': 1549, 'Top': 824}","(47.0, -0.034, 47.0, -0.034)",29.01723626,47.01063709,vertical,"(1564.0, 848.0)","(1, 0)",1549,824,1,cropped_images_5\cropped_278.jpg
every,100,"[(1581, 751), (1579, 822), (1550, 821), (1552, 750)]","{'Width': 31, 'Height': 72, 'Left': 1550, 'Top': 750}","(35.5, -0.034, 35.5, -0.034)",29.01723626,71.02816343,vertical,"(1565.5, 786.0)","(1, 0)",1550,750,1,cropped_images_5\cropped_279.jpg
levithan,100,"[(1585, 601), (1582, 713), (1553, 712), (1556, 600)]","{'Width': 32, 'Height': 113, 'Left': 1553, 'Top': 600}","(37.333, -0.034, 37.333, -0.034)",29.01723626,112.0401714,vertical,"(1569.0, 656.5)","(1, 0)",1553,600,1,cropped_images_5\cropped_280.jpg
DRY,100,"[(60, 1192), (58, 1399), (0, 1398), (0, 1191)]","{'Width': 60, 'Height': 208, 'Left': 0, 'Top': 1191}","(103.5, -0.017, 1000.0, -0.017)",59.0084764,207.0048308,vertical,"(29.5, 1295.0)","(1, 1)",0,1191,1,cropped_images_5\cropped_281.jpg
ATZ,100,"[(27, 9), (27, 69), (12, 69), (12, 9)]","{'Width': 15, 'Height': 60, 'Left': 12, 'Top': 9}","(1000.0, 0.0, 1000.0, -0.0)",15.0,60.0,vertical,"(19.5, 39.0)","(1, 1)",12,9,1,cropped_images_5\cropped_282.jpg
day,100,"[(43, 824), (42, 868), (13, 867), (14, 823)]","{'Width': 30, 'Height': 45, 'Left': 13, 'Top': 823}","(44.0, -0.034, 44.0, -0.034)",29.01723626,44.01136217,vertical,"(28.0, 845.5)","(1, 1)",13,823,1,cropped_images_5\cropped_283.jpg
every,100,"[(45, 748), (43, 818), (14, 817), (16, 747)]","{'Width': 31, 'Height': 71, 'Left': 14, 'Top': 747}","(35.0, -0.034, 35.0, -0.034)",29.01723626,70.0285656,vertical,"(29.5, 782.5)","(1, 1)",14,747,1,cropped_images_5\cropped_284.jpg
levithan,100,"[(50, 598), (46, 710), (17, 709), (21, 597)]","{'Width': 33, 'Height': 113, 'Left': 17, 'Top': 597}","(28.0, -0.034, 28.0, -0.034)",29.01723626,112.0714058,vertical,"(33.5, 653.5)","(1, 1)",17,597,1,cropped_images_5\cropped_285.jpg
REFUGEE,100,"[(102, 155), (103, 292), (61, 292), (60, 155)]","{'Width': 43, 'Height': 137, 'Left': 60, 'Top': 155}","(-137.0, 0.0, -137.0, -0.0)",42.0,137.0036496,vertical,"(81.5, 223.5)","(1, 1)",60,155,1,cropped_images_5\cropped_286.jpg
day,100,"[(99, 820), (97, 866), (67, 865), (69, 819)]","{'Width': 32, 'Height': 47, 'Left': 67, 'Top': 819}","(23.0, -0.033, 23.0, -0.033)",30.01666204,46.04345773,vertical,"(83.0, 842.5)","(1, 1)",67,819,1,cropped_images_5\cropped_287.jpg
every,100,"[(101, 743), (98, 815), (69, 814), (72, 742)]","{'Width': 32, 'Height': 73, 'Left': 69, 'Top': 742}","(24.0, -0.034, 24.0, -0.034)",29.01723626,72.0624729,vertical,"(85.0, 778.5)","(1, 1)",69,742,1,cropped_images_5\cropped_288.jpg
DRY,100,"[(133, 1193), (129, 1382), (69, 1381), (73, 1192)]","{'Width': 64, 'Height': 190, 'Left': 69, 'Top': 1192}","(47.25, -0.017, 47.25, -0.017)",60.00833275,189.0423233,vertical,"(101.0, 1287.0)","(1, 1)",69,1192,1,cropped_images_5\cropped_289.jpg
levithan,100,"[(107, 595), (103, 707), (73, 706), (77, 594)]","{'Width': 34, 'Height': 113, 'Left': 73, 'Top': 594}","(28.0, -0.033, 28.0, -0.033)",30.01666204,112.0714058,vertical,"(90.0, 650.5)","(1, 1)",73,594,1,cropped_images_5\cropped_290.jpg
day,100,"[(144, 826), (142, 872), (114, 871), (116, 825)]","{'Width': 30, 'Height': 47, 'Left': 114, 'Top': 825}","(23.0, -0.036, 23.0, -0.036)",28.01785145,46.04345773,vertical,"(129.0, 848.5)","(1, 1)",114,825,1,cropped_images_5\cropped_291.jpg
every,100,"[(147, 751), (144, 822), (116, 821), (119, 750)]","{'Width': 31, 'Height': 72, 'Left': 116, 'Top': 750}","(23.667, -0.036, 23.667, -0.036)",28.01785145,71.06335202,vertical,"(131.5, 786.0)","(1, 1)",116,750,1,cropped_images_5\cropped_292.jpg
REFUGE,100,"[(156, 184), (152, 294), (119, 293), (123, 183)]","{'Width': 37, 'Height': 111, 'Left': 119, 'Top': 183}","(27.5, -0.03, 27.5, -0.03)",33.01514804,110.0727032,vertical,"(137.5, 238.5)","(1, 1)",119,183,1,cropped_images_5\cropped_293.jpg
levithan,100,"[(153, 601), (149, 713), (120, 712), (124, 600)]","{'Width': 33, 'Height': 113, 'Left': 120, 'Top': 600}","(28.0, -0.034, 28.0, -0.034)",29.01723626,112.0714058,vertical,"(136.5, 656.5)","(1, 1)",120,600,1,cropped_images_5\cropped_294.jpg
GREATZ,100,"[(163, 13), (159, 125), (126, 124), (130, 12)]","{'Width': 37, 'Height': 113, 'Left': 126, 'Top': 12}","(28.0, -0.03, 28.0, -0.03)",33.01514804,112.0714058,vertical,"(144.5, 68.5)","(1, 1)",126,12,1,cropped_images_5\cropped_295.jpg
DRY,100,"[(204, 1197), (201, 1392), (143, 1391), (146, 1196)]","{'Width': 61, 'Height': 196, 'Left': 143, 'Top': 1196}","(65.0, -0.017, 65.0, -0.017)",58.00862005,195.0230756,vertical,"(173.5, 1294.0)","(1, 1)",143,1196,1,cropped_images_5\cropped_296.jpg
day,100,"[(191, 827), (189, 872), (160, 871), (162, 826)]","{'Width': 31, 'Height': 46, 'Left': 160, 'Top': 826}","(22.5, -0.034, 22.5, -0.034)",29.01723626,45.04442252,vertical,"(175.5, 849.0)","(1, 1)",160,826,1,cropped_images_5\cropped_297.jpg
every,100,"[(194, 750), (191, 822), (162, 821), (165, 749)]","{'Width': 32, 'Height': 73, 'Left': 162, 'Top': 749}","(24.0, -0.034, 24.0, -0.034)",29.01723626,72.0624729,vertical,"(178.0, 785.5)","(1, 1)",162,749,1,cropped_images_5\cropped_298.jpg
levithan,100,"[(200, 603), (196, 715), (166, 714), (170, 602)]","{'Width': 34, 'Height': 113, 'Left': 166, 'Top': 602}","(28.0, -0.033, 28.0, -0.033)",30.01666204,112.0714058,vertical,"(183.0, 658.5)","(1, 1)",166,602,1,cropped_images_5\cropped_299.jpg
REFUGE,100,"[(209, 185), (205, 296), (172, 295), (176, 184)]","{'Width': 37, 'Height': 112, 'Left': 172, 'Top': 184}","(27.75, -0.03, 27.75, -0.03)",33.01514804,111.0720487,vertical,"(190.5, 240.0)","(1, 1)",172,184,1,cropped_images_5\cropped_300.jpg
DRY,100,"[(274, 1198), (270, 1403), (212, 1402), (216, 1197)]","{'Width': 62, 'Height': 206, 'Left': 212, 'Top': 1197}","(51.25, -0.017, 51.25, -0.017)",58.00862005,205.0390207,vertical,"(243.0, 1300.0)","(1, 1)",212,1197,1,cropped_images_5\cropped_301.jpg
day,100,"[(248, 854), (247, 901), (218, 900), (219, 853)]","{'Width': 30, 'Height': 48, 'Left': 218, 'Top': 853}","(47.0, -0.034, 47.0, -0.034)",29.01723626,47.01063709,vertical,"(233.0, 877.0)","(1, 1)",218,853,1,cropped_images_5\cropped_302.jpg
KEPUCE,100,"[(259, 188), (256, 296), (219, 295), (222, 187)]","{'Width': 40, 'Height': 109, 'Left': 219, 'Top': 187}","(36.0, -0.027, 36.0, -0.027)",37.01351105,108.0416586,vertical,"(239.0, 241.5)","(1, 1)",219,187,1,cropped_images_5\cropped_303.jpg
another,100,"[(251, 741), (248, 850), (219, 849), (222, 740)]","{'Width': 32, 'Height': 110, 'Left': 219, 'Top': 740}","(36.333, -0.034, 36.333, -0.034)",29.01723626,109.0412766,vertical,"(235.0, 795.0)","(1, 1)",219,740,1,cropped_images_5\cropped_304.jpg
levithan,100,"[(256, 584), (253, 700), (224, 699), (227, 583)]","{'Width': 32, 'Height': 117, 'Left': 224, 'Top': 583}","(38.667, -0.034, 38.667, -0.034)",29.01723626,116.0387866,vertical,"(240.0, 641.5)","(1, 1)",224,583,1,cropped_images_5\cropped_305.jpg
day,100,"[(310, 854), (309, 901), (280, 900), (281, 853)]","{'Width': 30, 'Height': 48, 'Left': 280, 'Top': 853}","(47.0, -0.034, 47.0, -0.034)",29.01723626,47.01063709,vertical,"(295.0, 877.0)","(1, 1)",280,853,1,cropped_images_5\cropped_306.jpg
another,100,"[(313, 741), (310, 850), (281, 849), (284, 740)]","{'Width': 32, 'Height': 110, 'Left': 281, 'Top': 740}","(36.333, -0.034, 36.333, -0.034)",29.01723626,109.0412766,vertical,"(297.0, 795.0)","(1, 1)",281,740,1,cropped_images_5\cropped_307.jpg
levithan,100,"[(318, 586), (315, 703), (286, 702), (289, 585)]","{'Width': 32, 'Height': 118, 'Left': 286, 'Top': 585}","(39.0, -0.034, 39.0, -0.034)",29.01723626,117.0384552,vertical,"(302.0, 644.0)","(1, 1)",286,585,1,cropped_images_5\cropped_308.jpg
J,100,"[(325, 1531), (324, 1552), (289, 1551), (290, 1530)]","{'Width': 36, 'Height': 22, 'Left': 289, 'Top': 1530}","(21.0, -0.029, 21.0, -0.029)",35.0142828,21.02379604,vertical,"(307.0, 1541.0)","(1, 1)",289,1530,1,cropped_images_5\cropped_309.jpg
BOYS,100,"[(329, 1420), (326, 1519), (290, 1518), (293, 1419)]","{'Width': 39, 'Height': 100, 'Left': 290, 'Top': 1419}","(33.0, -0.028, 33.0, -0.028)",36.01388621,99.04544412,vertical,"(309.5, 1469.0)","(1, 1)",290,1419,1,cropped_images_5\cropped_310.jpg
CEMETERY,100,"[(336, 1219), (330, 1410), (294, 1409), (300, 1218)]","{'Width': 42, 'Height': 192, 'Left': 294, 'Top': 1218}","(31.833, -0.028, 31.833, -0.028)",36.01388621,191.0942176,vertical,"(315.0, 1314.0)","(1, 1)",294,1218,1,cropped_images_5\cropped_311.jpg
day,100,"[(366, 855), (365, 903), (337, 902), (338, 854)]","{'Width': 29, 'Height': 49, 'Left': 337, 'Top': 854}","(48.0, -0.036, 48.0, -0.036)",28.01785145,48.01041554,vertical,"(351.5, 878.5)","(1, 1)",337,854,1,cropped_images_5\cropped_312.jpg
another,100,"[(369, 742), (366, 851), (339, 850), (342, 741)]","{'Width': 30, 'Height': 110, 'Left': 339, 'Top': 741}","(36.333, -0.037, 36.333, -0.037)",27.01851217,109.0412766,vertical,"(354.0, 796.0)","(1, 1)",339,741,1,cropped_images_5\cropped_313.jpg
levithan,100,"[(374, 587), (371, 702), (343, 701), (346, 586)]","{'Width': 31, 'Height': 116, 'Left': 343, 'Top': 586}","(38.333, -0.036, 38.333, -0.036)",28.01785145,115.0391238,vertical,"(358.5, 644.0)","(1, 1)",343,586,1,cropped_images_5\cropped_314.jpg
RATZ,100,"[(361, 44), (359, 121), (344, 121), (346, 44)]","{'Width': 17, 'Height': 77, 'Left': 344, 'Top': 44}","(38.5, 0.0, 38.5, -0.0)",15.0,77.02596965,vertical,"(352.5, 82.5)","(1, 1)",344,44,1,cropped_images_5\cropped_315.jpg
BOYS,100,"[(383, 1421), (380, 1520), (346, 1519), (349, 1420)]","{'Width': 37, 'Height': 100, 'Left': 346, 'Top': 1420}","(33.0, -0.029, 33.0, -0.029)",34.0147027,99.04544412,vertical,"(364.5, 1470.0)","(1, 1)",346,1420,1,cropped_images_5\cropped_316.jpg
CEMETERY,100,"[(389, 1222), (383, 1412), (349, 1411), (355, 1221)]","{'Width': 40, 'Height': 191, 'Left': 349, 'Top': 1221}","(31.667, -0.029, 31.667, -0.029)",34.0147027,190.0947132,vertical,"(369.0, 1316.5)","(1, 1)",349,1221,1,cropped_images_5\cropped_317.jpg
REFUGEE,100,"[(419, 194), (418, 317), (384, 317), (385, 194)]","{'Width': 35, 'Height': 123, 'Left': 384, 'Top': 194}","(123.0, 0.0, 123.0, -0.0)",34.0,123.004065,vertical,"(401.5, 255.5)","(1, 1)",384,194,1,cropped_images_5\cropped_318.jpg
day,100,"[(426, 855), (424, 903), (396, 902), (398, 854)]","{'Width': 30, 'Height': 49, 'Left': 396, 'Top': 854}","(24.0, -0.036, 24.0, -0.036)",28.01785145,48.0416486,vertical,"(411.0, 878.5)","(1, 1)",396,854,1,cropped_images_5\cropped_319.jpg
another,100,"[(431, 743), (427, 852), (398, 851), (402, 742)]","{'Width': 33, 'Height': 110, 'Left': 398, 'Top': 742}","(27.25, -0.034, 27.25, -0.034)",29.01723626,109.0733698,vertical,"(414.5, 797.0)","(1, 1)",398,742,1,cropped_images_5\cropped_320.jpg
GRATZ,100,"[(420, 24), (415, 121), (400, 120), (405, 23)]","{'Width': 20, 'Height': 98, 'Left': 400, 'Top': 23}","(19.4, -0.067, 19.4, -0.067)",15.03329638,97.12878049,vertical,"(410.0, 72.0)","(1, 1)",400,23,1,cropped_images_5\cropped_321.jpg
levithan,100,"[(437, 589), (432, 704), (404, 703), (408, 588)]","{'Width': 33, 'Height': 116, 'Left': 404, 'Top': 588}","(23.0, -0.036, 28.75, -0.034)",28.51754385,115.0890943,vertical,"(420.25, 646.0)","(1, 1)",404,588,1,cropped_images_5\cropped_322.jpg
J,100,"[(443, 1535), (442, 1555), (409, 1554), (410, 1534)]","{'Width': 34, 'Height': 21, 'Left': 409, 'Top': 1534}","(20.0, -0.03, 20.0, -0.03)",33.01514804,20.02498439,vertical,"(426.0, 1544.5)","(1, 1)",409,1534,1,cropped_images_5\cropped_323.jpg
BOYS,100,"[(448, 1422), (444, 1522), (410, 1521), (414, 1421)]","{'Width': 38, 'Height': 101, 'Left': 410, 'Top': 1421}","(25.0, -0.029, 25.0, -0.029)",34.0147027,100.079968,vertical,"(429.0, 1471.5)","(1, 1)",410,1421,1,cropped_images_5\cropped_324.jpg
